Phase,Scenario_Name,Run,PopSize,Generation,Cr,Mr,Fitness
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,1,10,10,0.5,0.5,0.8592105263157894
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,2,10,10,0.5,0.5,0.8539473684210527
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,3,10,10,0.5,0.5,0.8578947368421053
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,4,10,10,0.5,0.5,0.8460526315789474
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,5,10,10,0.5,0.5,0.85
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,6,10,10,0.5,0.5,0.8657894736842106
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,7,10,10,0.5,0.5,0.8539473684210527
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,8,10,10,0.5,0.5,0.8526315789473684
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,9,10,10,0.5,0.5,0.8578947368421053
Phase 3: Cr & Mr Test,S01_Cr0.5_Mr0.5,10,10,10,0.5,0.5,0.8578947368421053
